AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
Principal,Principal Midcap Fund Direct Growth,Equity,Moderately High Risk,2,49.1,0.45,26.7,32755.26,225.553,75.6,40,20.048,0.8420000000000001,0.95,1/30/2022,8/1/2013
UTI,UTI Gilt Fund with 10 year Constant Duration Direct Growth,Debt,Moderate Risk,3,15.36,19.16,-7.66,28157.86,345.36400000000003,89.92,34,18.914,0.754,0.51,3/15/2019,6/28/2012
Nippon,Nippon India Asset Allocator FoF Direct Growth,Other,Very High Risk,3,7.42,39.55,7.59,17331.34,249.511,91.0,32,20.061,1.053,0.78,10/10/2020,11/25/2014
Aditya,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth,Other,Moderate Risk,1,7.86,37.53,1.6,36852.96,298.944,35.68,46,20.289,1.016,1.24,11/15/2011,12/29/2019
IDFC,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Other,Moderate Risk,1,1.45,34.68,2.25,3060.15,46.818000000000005,41.93,51,19.500999999999998,1.1079999999999999,0.76,6/12/2013,3/30/2021
Mirae,Mirae Asset Equity Allocator FoF Direct Growth,Other,Very High Risk,2,3.55,-1.7,21.83,3717.25,123.26700000000001,18.92,60,21.473000000000003,0.7979999999999999,0.91,12/3/2015,10/23/2009
Aditya,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth,Other,Moderate Risk,2,-0.48,10.34,46.16,18762.52,240.205,26.77,62,22.691,1.061,1.13,10/18/2008,10/6/2019
IDFC,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Other,Moderate Risk,4,1.45,27.58,-11.7,30591.99,109.103,49.1,38,18.769000000000002,0.893,1.07,1/11/2010,12/27/2006
Mahindra,Mahindra Manulife Ultra Short Term Fund Direct Growth,Debt,Moderately Low Risk,3,3.95,-5.29,5.99,24832.61,258.01099999999997,90.45,66,20.81,0.898,1.03,7/24/2017,5/6/2012
Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,Other,Moderate Risk,2,2.18,44.93,14.84,29549.9,21.081,91.53,58,18.706,1.139,0.55,2/22/2006,4/14/2007
Invesco,Invesco India Medium Duration Fund Direct Growth,Debt,Moderate Risk,2,2.12,0.6,-5.53,15527.85,204.532,25.66,23,21.767,1.171,1.12,6/2/2013,11/1/2015
Edelweiss,Edelweiss Nifty 50 Index Fund Direct Growth,Other,Very High Risk,2,34.21,-7.4,-8.78,31859.62,126.24700000000001,28.22,43,18.567999999999998,1.14,0.82,7/17/2018,3/24/2013
Mirae,Mirae Asset Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,4,4.1,24.71,8.35,6371.95,28.561,62.72,20,21.419,1.08,0.95,1/31/2018,12/25/2018
TRUSTMF,TRUSTMF Overnight Fund Direct Growth,Debt,Low Risk,2,24.28,25.07,-2.52,31796.99,249.93099999999998,3.4,58,21.693,1.038,0.91,2/19/2021,2/7/2014
